frase, categoria
"Donna: Vorrei andare in vacanza in Grecia, ti va di venire con me? Uomo: Sì, il prossimo anno potremmo andare.",saluti
"Donna: Il mio computer è stato rubato, devo segnalare la denuncia alla polizia. Uomo: Sì, è importante fare la denuncia.",saluti
"Donna: Il mio fratello si è laureato, devo scrivere un telegramma di congratulazioni. Uomo: Sì, è un'occasione speciale da celebrare.",famiglia
"Donna: Sto pensando di comprare un nuovo telefono, qual è il tuo consiglio? Uomo: Leggi le recensioni online e scegli una marca di qualità.",saluti
"Donna: Non riesco a trovare il mio portafoglio, l'ho perso dove? Uomo: Forse l'hai lasciato a casa o in ufficio.",carriera
"Donna: Vorrei imparare a ballare il valzer, ci vai con me in un corso? Uomo: Sì, ci andremo insieme la prossima settimana.",saluti
"Donna: Il mio gatto è malato, devo portarlo dal veterinario. Uomo: Spero che la cura funzioni.",saluti
"Donna: Il weekend è arrivato, cosa faremmo per divertirci? Uomo: Potremmo andare al cinema o al parco.",saluti
"Donna: Il mio amico è in ospedale, devo andare a trovarlo. Uomo: Sì, è un momento difficile per lui e la sua famiglia.",famiglia
"Donna: Vorrei imparare a suonare la chitarra, sai un insegnante? Uomo: C'è un concorso di audizioni in città per gli studenti.",saluti
"Donna: Non mi piace il mio nuovo lavoro, devo parlarne con il mio capo. Uomo: Sì, è importante esprimere le proprie preoccupazioni.",carriera
"Donna: Il mio fratello si è separato, devo andare a trovarlo. Uomo: Sì, è un momento difficile per lui.",famiglia
"Donna: Vorrei andare in Italia per le vacanze, ti va di venire con me? Uomo: Sì, potremmo visitare Roma e Firenze.",saluti
"Donna: Il mio computer è lentissimo, devo comprarne uno nuovo. Uomo: Sì, è un buon investimento per il futuro.",saluti
"Donna: Il mio vicino di casa ha rubato il mio giardino, devo denunciare alla polizia. Uomo: Sì, è un problema grave da risolvere.",conflitti
"Donna: Vorrei imparare a cucinare la lasagna, hai un'idea? Uomo: C'è un libro di ricette italiane in cucina.",saluti
"Donna: Il mio cellulare non ha la batteria, devo portarlo in riparazione. Uomo: Sì, potrebbero ripararlo in poche ore.",saluti
"Donna: Il mio amico si è sposato, devo scrivere un biglietto di auguri. Uomo: Sì, è un'occasione speciale da celebrare.",saluti
"Donna: Non riesco a dormire, soffro di insonnia. Uomo: Sì, ci sono molti metodi per addormentarsi più in fretta.",saluti
"Donna: Il mio libro è arrivato, ma c'è un errore di stampa. Uomo: Spero che la casa editrice si occupi del problema.",conflitti
"Donna: Vorrei andare in un weekend in montagna, ti va di venire con me? Uomo: Sì, il prossimo weekend potremmo andare.",saluti
"Donna: Il mio computer non si connette, devo chiamare il tecnico. Uomo: Spero che non sia un problema grave.",conflitti
"Donna: Il mio figlio non vuole andare a scuola, devo parlare con l'insegnante. Uomo: Spero che la soluzione sia facile da trovare insieme.",famiglia
