frase, categoria
"Uomo 1: ""Come hai risolto il problema con la macchina?"" Uomo 2: ""Ho chiamato il meccanico, ha risolto in un'ora""",conflitti
"Uomo 1: ""Hai letto il giornale online oggi?"" Uomo 2: ""Sì, ho letto alcune notizie, ma non tutte""",saluti
"Uomo 1: ""Vai in bicicletta al lavoro?"" Uomo 2: ""Sì, è un'ora di pedalata, ma è bello""",apparenza
"Uomo 1: ""Hai visto il nuovo film di Tarantino?"" Uomo 2: ""Sì, è stato molto divertente, lo consiglio""",saluti
"Uomo 1: ""Come va il tuo gatto?"" Uomo 2: ""Sta bene, è sempre felice di vedermi""",saluti
"Uomo 1: ""Come va oggi?"" Uomo 2: ""Va bene, grazie""",saluti
"Uomo 1: ""Hai visto il nuovo film di Bond?"" Uomo 2: ""Sì, è stato molto emozionante""",saluti
"Uomo 1: ""Mi aiuti a trovare il mio portafoglio"" Uomo 2: ""Sì, cerchiamo insieme""",saluti
"Uomo 1: ""Che ne dici di andare al mare per il weekend?"" Uomo 2: ""Sono disponibile, grazie""",saluti
"Uomo 1: ""Come si chiama il tuo nuovo team di calcio?"" Uomo 2: ""Il Lazio, sfortunatamente perdiamo troppo""",hobby
"Uomo 1: ""Hai mangiato al ristorante nuovo vicino a casa?"" Uomo 2: ""Sì, il cibo è stato ottimo""",saluti
"Uomo 1: ""Posso prestarti il mio libro di storia?"" Uomo 2: ""Grazie, lo terrò in mente""",saluti
"Uomo 1: ""Che fai per lavorare?"" Uomo 2: ""Sono ingegnere, lavoro in un'azienda""",carriera
"Uomo 1: ""Hai preso le vacanze in Grecia?"" Uomo 2: ""Sì, è stato un sogno""",saluti
"Uomo 1: ""Come ti trovi in questo nuovo ufficio?"" Uomo 2: ""Va bene, è più comodo""",carriera
"Uomo 1: ""Hai visto il concerto dei Radiohead?"" Uomo 2: ""Sì, è stato incredibile""",saluti
"Uomo 1: ""Che cosa fai in libera uscita?"" Uomo 2: ""Vado a correre o a leggere""",saluti
"Uomo 1: ""Hai visitato il museo d'arte moderna?"" Uomo 2: ""Sì, ci sono stato due volte""",saluti
"Uomo 1: ""Come hai passato il tuo compleanno?"" Uomo 2: ""Con amici, a un party""",saluti
"Uomo 1: ""Hai preso le lezioni di cucina?"" Uomo 2: ""Sì, la prossima settimana""",saluti
"Uomo 1: ""Che ne dici di andare a vedere un film insieme?"" Uomo 2: ""Sono disponibile, grazie""",saluti
"Uomo 1: ""Hai preso il treno per la domenica?"" Uomo 2: ""Sì, per andare a visitare i genitori""",famiglia
"Uomo 1: ""Come ti trovi in questo nuovo quartiere?"" Uomo 2: ""Va bene, è tranquillo""",saluti
"Uomo 1: ""Hai visto il nuovo smartphone Samsung?"" Uomo 2: ""Sì, è molto veloce""",saluti
"Uomo 1: ""Che fai per il weekend?"" Uomo 2: ""Vado a montare in bicicletta""",saluti
"Uomo 1: ""Come va il tuo business?"" Uomo 2: ""Va bene, c'è stata un'importante commessa""",saluti
"Uomo 1: ""Hai letto il nuovo libro di De Luca?"" Uomo 2: ""Sì, è stato molto interessante""",saluti
"Uomo 1: ""Che ne dici di andare a vedere una partita di calcio?"" Uomo 2: ""Sono disponibile, grazie""",hobby
"Uomo 1: ""Come hai risolto il problema con il computer?"" Uomo 2: ""Ho chiamato un tecnico""",conflitti
"Uomo 1: ""Hai preso le lezioni di scherma?"" Uomo 2: ""Sì, inizio a trovare il mio stile""",saluti
"Uomo 1: ""Che fai il sabato pomeriggio?"" Uomo 2: ""Vado a giocare a pallavolo con amici""",saluti
"Uomo 1: ""Hai visto il nuovo film di sci-fi?"" Uomo 2: ""Sì, è stato molto emozionante""",saluti
"Uomo 1: ""Come ti trovi in questo nuovo orario di lavoro?"" Uomo 2: ""Va bene, è più comodo""",carriera
"Uomo 1: ""Hai preso il treno per Roma?"" Uomo 2: ""Sì, per un convegno di lavoro""",carriera
"Uomo 1: ""Che ne dici di andare a mangiare un aperitivo?"" Uomo 2: ""Sono disponibile, grazie""",saluti
"Uomo 1: ""Come hai passato le vacanze invernali?"" Uomo 2: ""Sono andato in sci alpino in Svizzera""",saluti
"Uomo 1: ""Hai visto il concerto di Zucchero?"" Uomo 2: ""Sì, è stato incredibile""",saluti
"Uomo 1: ""Che fai per aumentare la tua resistenza fisica?"" Uomo 2: ""Vado a correre tre volte a settimana""",saluti
"Uomo 1: ""Hai preso lezioni di cucina italiana?"" Uomo 2: ""Sì, inizio a fare i piatti da solo""",saluti
"Uomo 1: ""Come ti trovi in questo nuovo paese?"" Uomo 2: ""Va bene, la gente è molto cordiale""",saluti
"Uomo 1: ""Hai visto il nuovo smartphone di Apple?"" Uomo 2: ""Sì, è molto bello""",apparenza
"Uomo 1: ""Che ne dici di andare a vedere un'opera lirica?"" Uomo 2: ""Sono disponibile, grazie""",saluti
"Uomo 1: ""Come hai risolto il problema con il tuo computer portatile?"" Uomo 2: ""Ho portato il laptop al servizio""",conflitti
"Uomo 1: ""Hai preso il corso di inglese?"" Uomo 2: ""Sì, inizio a migliorare la mia grammatica""",saluti
"Uomo 1: ""Che fai per il tuo compleanno prossimo?"" Uomo 2: ""Vado a festeggiare con amici in un ristorante""",saluti
"Uomo 1: ""Come va il tuo weekend?"" Uomo 2: ""Va bene, ho preso un po' di relax""",saluti
"Uomo 1: ""Hai visto il nuovo film di superhero?"" Uomo 2: ""Sì, è stato molto emozionante""",saluti
"Uomo 1: ""Che ne dici di andare a giocare a tennis?"" Uomo 2: ""Sono disponibile, grazie""",saluti
"Uomo 1: ""Come hai risolto il problema con il tuo auto?"" Uomo 2: ""Ho portato il veicolo al garage""",conflitti
"Uomo 1: ""Hai preso il corso di fotografia?"" Uomo 2: ""Sì, inizio a scoprire la mia passione""",saluti
"Uomo 1: ""Che fai per il tuo compleanno?"" Uomo 2: ""Vado a festeggiare con amici al ristorante""",saluti
"Uomo 1: ""Hai visto il concerto di Andrea Bocelli?"" Uomo 2: ""Sì, è stato incredibile""",saluti
"Uomo 1: ""Come ti trovi in questo nuovo quartiere?"" Uomo 2: ""Va bene, è tranquillo""",saluti
"Uomo 1: ""Hai preso le lezioni di cucina per bambini?"" Uomo 2: ""Sì, per i miei figli""",saluti
"Uomo 1: ""Che ne dici di andare a vedere un'installazione d'arte?"" Uomo 2: ""Sono disponibile, grazie""",saluti
"Uomo 1: ""Come hai passato le vacanze estive?"" Uomo 2: ""Sono andato in vacanza in Croazia""",saluti
"Uomo 1: ""Hai visto il nuovo film di fantascienza?"" Uomo 2: ""Sì, è stato molto interessante""",saluti
"Uomo 1: ""Che fai per aumentare la tua resistenza mentale?"" Uomo 2: ""Leggo libri di self-help""",hobby
"Uomo 1: ""Hai preso il corso di italiano per stranieri?"" Uomo 2: ""Sì, per aiutare mio nipote""",saluti
"Uomo 1: ""Come ti trovi in questo nuovo lavoro?"" Uomo 2: ""Va bene, è più stimolante""",carriera
"Uomo 1: ""Hai visto il concerto di Luciano Pavarotti?"" Uomo 2: ""Sì, è stato incredibile""",saluti
"Uomo 1: ""Che ne dici di andare a vedere un match di calcio?"" Uomo 2: ""Sono disponibile, grazie""",hobby
"Uomo 1: ""Come hai risolto il problema con il tuo account bancario?"" Uomo 2: ""Ho chiamato il servizio clienti""",conflitti
"Uomo 1: ""Hai preso il corso di pianoforte?"" Uomo 2: ""Sì, inizio a scoprire la mia passione""",saluti
"Uomo 1: ""Che fai per il tuo anniversario di matrimonio?"" Uomo 2: ""Vado a festeggiare con la mia famiglia""",famiglia
"Uomo 1: ""Come va oggi?"" Uomo 2: ""Bene, grazie, e te?""",saluti
"Uomo 1: ""Hai visto il nuovo film di Marvel?"" Uomo 2: ""Sì, non male, ma non era il mio genere""",saluti
"Uomo 1: ""Dove vai in vacanza quest'anno?"" Uomo 2: ""In Grecia, con la famiglia""",famiglia
"Uomo 1: ""Ti piace il calcio?"" Uomo 2: ""Sì, sono tifoso della Juventus""",hobby
"Uomo 1: ""Come hai passato il weekend?"" Uomo 2: ""Con amici a monte, in sci""",saluti
"Uomo 1: ""Hai letto il nuovo libro di Ferrante?"" Uomo 2: ""Sì, mi è piaciuto molto""",saluti
"Uomo 1: ""Dov'è il ristorante migliore in città?"" Uomo 2: ""C'è uno vicino a me, va bene""",saluti
"Uomo 1: ""Ti va di andare al cinema stasera?"" Uomo 2: ""Non ho tempo, domani""",saluti
"Uomo 1: ""Hai mai visitato il Colosseo?"" Uomo 2: ""Sì, quando ero ragazzo""",saluti
"Uomo 1: ""Come funziona il tuo nuovo smartphone?"" Uomo 2: ""Meglio vederlo in mano""",saluti
"Uomo 1: ""Ti piace il cibo asiatico?"" Uomo 2: ""Sì, a volte, in un ristorante""",saluti
"Uomo 1: ""Hai un progetto in corso di studio?"" Uomo 2: ""Sì, un lavoro di ingegneria""",carriera
"Uomo 1: ""Dov'è il parco più grande della città?"" Uomo 2: ""Nel quartiere ovest, ci vado a piedi""",saluti
"Uomo 1: ""Hai preso in considerazione un nuovo lavoro?"" Uomo 2: ""Sì, ma non so ancora""",carriera
